name,symbol,price,market_cap,change_24h
Bitcoin,BTC,103045,2052987046735,0.3137
Ethereum,ETH,3369.84,406248741246,0.68268
Tether,USDT,0.999705,183405651942,-0.04263
XRP,XRP,2.29,137535389423,0.79125
BNB,BNB,943.97,129885048825,-1.27258
